"Station Name","MAC Address","Org Name","Start Date","Start Time Zone","End Date","End Time Zone","Transaction Date (Pacific Time)","Total Duration (hh:mm:ss)","Charging Time (hh:mm:ss)","Energy (kWh)","GHG Savings (kg)","Gasoline Savings (gallons)","Port Type","Port Number","Plug Type","EVSE ID","Address 1","Address 2",City,State/Province,"Postal Code",Country,Latitude,Longitude,Currency,Fee,"Ended By","Plug In Event Id","Driver Postal Code","User ID","Start SOC","End SOC",County,"System S/N","Model Number"
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-23 12:00:51",PST,"2019-01-23 13:29:13",PST,"2019-01-23 13:30:42",01:28:22,01:27:09,10.086,4.236,1.266,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,1.110,"Plug Out at Vehicle",4069,93405,3334181,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-23 09:09:17",PST,"2019-01-23 13:18:51",PST,"2019-01-23 13:20:05",04:09:34,01:54:09,6.074,2.551,0.762,"Level 2",1,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,1.630,Unknown,1777,93422,1248301,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-23 09:53:48",PST,"2019-01-23 13:10:55",PST,"2019-01-23 13:12:38",03:17:07,00:25:29,2.857,1.200,0.358,"Level 2",1,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.310,"Plug Out at Vehicle",1548266025,93405,385681,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-23 09:04:24",PST,"2019-01-23 13:09:00",PST,"2019-01-23 13:11:32",04:04:35,01:27:49,4.513,1.895,0.566,"Level 2",1,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.960,"Plug Out at Vehicle",3610,93422,349725,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-23 09:22:13",PST,"2019-01-23 13:08:10",PST,"2019-01-23 13:10:33",03:46:00,03:45:48,3.475,1.459,0.436,"Level 2",2,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.380,"Plug Out at Vehicle",2966,93402,710899,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-23 08:10:41",PST,"2019-01-23 12:27:17",PST,"2019-01-23 12:28:23",04:16:36,02:09:42,7.921,3.327,0.994,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,2.530,"Plug Out at Vehicle",4068,93420,1260731,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-23 09:57:41",PST,"2019-01-23 11:48:23",PST,"2019-01-23 11:50:45",01:50:40,01:50:31,11.426,4.799,1.434,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,1.260,"Plug Out at Vehicle",3611,93428,1669191,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-23 07:44:21",PST,"2019-01-23 11:40:02",PST,"2019-01-23 11:40:44",03:55:41,03:25:42,11.658,4.896,1.463,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,1.280,"Plug Out at Vehicle",4067,93433,827095,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-23 07:58:36",PST,"2019-01-23 11:33:53",PST,"2019-01-23 11:34:47",03:35:15,03:35:05,6.459,2.713,0.811,"Level 2",2,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,0.710,"Plug Out at Vehicle",1776,93442,711871,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-23 09:10:22",PST,"2019-01-23 11:14:04",PST,"2019-01-23 11:15:28",02:03:42,01:21:15,4.175,1.754,0.524,"Level 2",1,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,0.460,"Plug Out at Vehicle",1548263419,93422,3575341,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
