"Station Name","MAC Address","Org Name","Start Date","Start Time Zone","End Date","End Time Zone","Transaction Date (Pacific Time)","Total Duration (hh:mm:ss)","Charging Time (hh:mm:ss)","Energy (kWh)","GHG Savings (kg)","Gasoline Savings (gallons)","Port Type","Port Number","Plug Type","EVSE ID","Address 1","Address 2",City,State/Province,"Postal Code",Country,Latitude,Longitude,Currency,Fee,"Ended By","Plug In Event Id","Driver Postal Code","User ID","Start SOC","End SOC",County,"System S/N","Model Number"
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-23 08:05:33",PST,"2019-01-23 11:04:09",PST,"2019-01-23 11:06:14",02:58:36,02:02:47,6.449,2.709,0.809,"Level 2",2,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,0.710,"Plug Out at Vehicle",3738,95677,3749021,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-23 08:43:06",PST,"2019-01-23 10:28:33",PST,"2019-01-23 10:30:27",01:45:26,01:10:22,2.337,0.981,0.293,"Level 2",1,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,0.260,"Plug Out at Vehicle",2107,93420,379067,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-23 07:21:30",PST,"2019-01-23 09:40:30",PST,"2019-01-23 09:42:18",02:19:00,01:56:29,10.748,4.514,1.349,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,1.180,"Plug Out at Vehicle",1548256885,93446,1183311,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-23 07:48:42",PST,"2019-01-23 09:14:02",PST,"2019-01-23 09:15:17",01:25:19,01:11:37,2.255,0.947,0.283,"Level 2",2,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,0.250,"Plug Out at Vehicle",1548258515,94040,2317461,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-23 03:15:07",PST,"2019-01-23 06:49:17",PST,"2019-01-23 06:50:54",03:34:10,02:08:17,7.697,3.233,0.966,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.850,"Plug Out at Vehicle",3609,93405,648859,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-22 19:24:26",PST,"2019-01-23 00:26:41",PST,"2019-01-23 00:27:23",05:02:20,01:49:36,6.289,2.642,0.789,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,6.920,"Plug Out at Vehicle",4066,95124,508969,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-22 17:10:35",PST,"2019-01-22 20:38:14",PST,"2019-01-22 20:40:11",03:27:39,02:07:15,8.391,3.524,1.053,"Level 2",1,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,0.920,"Plug Out at Vehicle",3735,93446,323083,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-22 17:46:45",PST,"2019-01-22 20:07:12",PST,"2019-01-22 20:09:06",02:20:25,02:20:15,16.423,6.898,2.061,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,1.810,"Plug Out at Vehicle",1548207999,93405,1880891,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-22 17:54:54",PST,"2019-01-22 20:00:47",PST,"2019-01-22 20:01:35",02:05:56,02:05:45,7.826,3.287,0.982,"Level 2",2,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,0.860,"Plug Out at Vehicle",3737,93402,502759,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-22 18:14:12",PST,"2019-01-22 19:43:39",PST,"2019-01-22 19:44:51",01:29:30,01:29:19,3.604,1.514,0.452,"Level 2",2,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.400,"Plug Out at Vehicle",2965,92009,1782891,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-22 17:11:03",PST,"2019-01-22 19:06:25",PST,"2019-01-22 19:08:16",01:55:21,01:54:44,5.490,2.306,0.689,"Level 2",1,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.600,"Plug Out at Vehicle",2964,93420,453471,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-22 14:59:47",PST,"2019-01-22 19:00:45",PST,"2019-01-22 19:01:28",04:00:58,03:41:32,16.878,7.089,2.118,"Level 2",2,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,1.960,"Plug Out at Vehicle",2106,93433,936751,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-22 14:55:30",PST,"2019-01-22 18:17:24",PST,"2019-01-22 18:18:35",03:21:57,03:21:44,12.660,5.317,1.589,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,1.390,"Plug Out at Vehicle",4065,93428,459349,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-22 14:11:51",PST,"2019-01-22 18:13:11",PST,"2019-01-22 18:14:21",04:01:20,01:28:13,4.637,1.947,0.582,"Level 2",1,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,0.640,"Plug Out at Vehicle",1774,93422,349725,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-22 16:02:44",PST,"2019-01-22 18:09:00",PST,"2019-01-22 18:09:45",02:06:20,02:06:07,7.800,3.276,0.979,"Level 2",2,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.860,"Plug Out at Vehicle",2963,95124,508969,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-22 15:40:40",PST,"2019-01-22 17:53:08",PST,"2019-01-22 17:54:13",02:12:28,02:02:43,13.317,5.593,1.671,"Level 2",2,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,1.460,"Plug Out at Vehicle",1775,93422,1853321,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-22 14:02:46",PST,"2019-01-22 17:44:02",PST,"2019-01-22 17:45:32",03:41:16,03:35:17,13.185,5.538,1.655,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,1.450,"Plug Out at Vehicle",4064,90745,2317491,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-22 16:01:48",PST,"2019-01-22 17:11:49",PST,"2019-01-22 17:13:55",01:10:05,00:54:06,2.552,1.072,0.320,"Level 2",2,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,0.280,"Plug Out at Vehicle",3734,93422,699027,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-22 12:37:22",PST,"2019-01-22 16:53:32",PST,"2019-01-22 16:55:15",04:16:09,03:05:46,20.825,8.746,2.613,"Level 2",1,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,3.910,"Plug Out at Vehicle",2962,93401,377549,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-22 14:14:44",PST,"2019-01-22 16:50:16",PST,"2019-01-22 16:53:00",02:35:35,02:35:20,17.681,7.426,2.219,"Level 2",1,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,1.940,"Plug Out at Vehicle",3733,93465,3778861,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-22 11:48:39",PST,"2019-01-22 16:22:48",PST,"2019-01-22 16:24:15",04:34:09,01:58:56,13.732,5.768,1.723,"Level 2",1,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,4.930,Customer,3607,93428,3367961,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-22 12:18:06",PST,"2019-01-22 15:54:26",PST,"2019-01-22 15:56:21",03:36:19,01:38:15,5.154,2.165,0.647,"Level 2",2,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,0.570,"Plug Out at Vehicle",3732,93433,378691,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-22 11:57:14",PST,"2019-01-22 15:05:15",PST,"2019-01-22 15:06:43",03:08:01,01:55:35,6.100,2.562,0.766,"Level 2",2,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,0.670,"Plug Out at Vehicle",1773,93401,1141501,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-22 12:05:19",PST,"2019-01-22 15:00:23",PST,"2019-01-22 15:02:37",02:55:04,01:59:45,6.260,2.629,0.786,"Level 2",2,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.690,"Plug Out at Vehicle",2961,93465,321157,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-22 14:26:01",PST,"2019-01-22 14:57:53",PST,"2019-01-22 14:59:21",00:31:52,00:05:20,0.360,0.151,0.045,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.040,"Plug Out at Vehicle",3608,93433,936751,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-22 11:36:06",PST,"2019-01-22 14:16:28",PST,"2019-01-22 14:18:30",02:40:26,02:40:15,4.582,1.925,0.575,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.500,"Plug Out at Vehicle",4062,93402,710899,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-22 11:36:46",PST,"2019-01-22 13:47:43",PST,"2019-01-22 13:48:47",02:10:57,01:44:36,5.532,2.323,0.694,"Level 2",1,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,0.610,"Plug Out at Vehicle",2104,93420,379067,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-22 11:46:50",PST,"2019-01-22 13:09:47",PST,"2019-01-22 13:12:25",01:22:57,01:22:47,9.553,4.012,1.199,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,1.050,"Plug Out at Vehicle",4063,93405,3334181,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-22 09:15:18",PST,"2019-01-22 13:02:57",PST,"2019-01-22 13:04:42",03:47:38,03:24:47,14.245,5.983,1.788,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,1.570,Customer,3606,93420,886001,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-22 11:41:53",PST,"2019-01-22 12:27:25",PST,"2019-01-22 12:29:49",00:45:36,00:45:25,4.950,2.079,0.621,"Level 2",2,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,0.540,"Plug Out at Vehicle",2105,93428,1669191,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-22 08:23:45",PST,"2019-01-22 12:23:58",PST,"2019-01-22 12:25:41",04:00:13,01:41:15,5.293,2.223,0.664,"Level 2",1,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,0.600,"Plug Out at Vehicle",1771,93420,1260731,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-22 07:33:30",PST,"2019-01-22 11:37:25",PST,"2019-01-22 11:38:16",04:03:55,03:12:03,10.834,4.550,1.360,"Level 2",1,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,1.580,"Plug Out at Vehicle",1548171204,93433,827095,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-22 07:41:08",PST,"2019-01-22 11:23:23",PST,"2019-01-22 11:25:07",03:42:15,01:52:35,10.733,4.508,1.347,"Level 2",1,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,1.180,"Plug Out at Vehicle",1548171664,93446,1183311,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-22 09:03:57",PST,"2019-01-22 11:16:42",PST,"2019-01-22 11:18:04",02:12:45,00:21:04,0.554,0.233,0.070,"Level 2",2,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.060,"Plug Out at Vehicle",1548176632,93405,1383911,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-22 08:00:56",PST,"2019-01-22 11:08:55",PST,"2019-01-22 11:10:17",03:07:58,03:07:44,21.734,9.128,2.728,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,2.390,"Plug Out at Vehicle",4061,93405,3334181,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-22 07:30:58",PST,"2019-01-22 11:06:00",PST,"2019-01-22 11:08:08",03:35:02,03:26:56,11.150,4.683,1.399,"Level 2",2,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,1.230,"Plug Out at Vehicle",2102,94618,2627021,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-22 08:23:13",PST,"2019-01-22 10:58:22",PST,"2019-01-22 11:00:43",02:35:08,02:23:32,15.772,6.624,1.979,"Level 2",2,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,1.730,"Plug Out at Vehicle",3731,93449,404097,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-22 08:40:11",PST,"2019-01-22 10:54:59",PST,"2019-01-22 10:56:48",02:14:48,02:07:19,6.632,2.785,0.832,"Level 2",1,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.730,"Plug Out at Vehicle",2960,93405,1239511,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-22 07:59:23",PST,"2019-01-22 10:45:54",PST,"2019-01-22 10:48:24",02:46:31,02:09:17,6.744,2.832,0.846,"Level 2",1,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,0.740,"Plug Out at Vehicle",2103,93422,2144341,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-22 06:52:38",PST,"2019-01-22 10:11:17",PST,"2019-01-22 10:12:43",03:18:39,02:03:51,6.443,2.706,0.809,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.710,"Plug Out at Vehicle",4060,95677,3749021,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-22 08:53:39",PST,"2019-01-22 10:03:08",PST,"2019-01-22 10:04:23",01:09:30,01:09:06,4.309,1.810,0.541,"Level 2",2,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,0.470,"Plug Out at Vehicle",1772,90745,2317491,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-22 07:15:08",PST,"2019-01-22 08:43:27",PST,"2019-01-22 08:44:19",01:28:24,01:28:09,8.544,3.589,1.072,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.940,"Plug Out at Vehicle",3605,93406,412757,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-22 03:21:53",PST,"2019-01-22 07:05:09",PST,"2019-01-22 07:06:20",03:43:16,03:06:20,10.649,4.473,1.336,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,1.170,"Plug Out at Vehicle",3604,93405,648859,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-21 23:46:53",PST,"2019-01-22 01:55:04",PST,"2019-01-22 01:56:08",02:08:10,02:07:58,14.911,6.263,1.871,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,1.640,"Plug Out at Vehicle",4059,84020,3430441,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-21 19:50:37",PST,"2019-01-21 21:50:36",PST,"2019-01-21 21:51:34",01:59:58,01:59:48,4.841,2.033,0.608,"Level 2",2,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.530,"Plug Out at Vehicle",2959,92009,1782891,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-21 19:05:26",PST,"2019-01-21 21:17:28",PST,"2019-01-21 21:18:12",02:12:06,01:59:50,6.260,2.629,0.786,"Level 2",2,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,0.690,"Plug Out at Vehicle",3730,90505,2480471,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-21 19:13:55",PST,"2019-01-21 19:15:55",PST,"2019-01-21 19:16:03",00:02:00,00:00:00,0.000,0.000,0.000,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.000,Timeout,1548126830,90505,2480471,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-21 19:11:24",PST,"2019-01-21 19:13:25",PST,"2019-01-21 19:13:37",00:02:01,00:00:00,0.000,0.000,0.000,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.000,Timeout,1548126678,90505,2480471,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-21 16:10:10",PST,"2019-01-21 18:54:36",PST,"2019-01-21 18:56:04",02:44:26,02:33:51,5.114,2.148,0.642,"Level 2",2,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.560,"Plug Out at Vehicle",2958,93433,378691,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-21 16:58:35",PST,"2019-01-21 18:06:53",PST,"2019-01-21 18:08:21",01:08:17,01:08:06,2.751,1.155,0.345,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.300,"Plug Out at Vehicle",4058,92009,1782891,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-21 13:10:38",PST,"2019-01-21 16:58:21",PST,"2019-01-21 17:00:15",03:47:47,03:47:25,9.125,3.833,1.145,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,1.000,"Plug Out at Vehicle",4057,92009,1782891,,,"San Luis Obispo County",142741005561,CT4025-HD
