,arrHour,highPower,power_kw,estDurationHrs,estEnergykWh
8,,0,"[1.0236809885699218e-09, 8.829476052056972e-10, 2.0069817903241484e-09, 2.6043666993669847e-09, 3.0716847428945346, 3.067155141839683, 3.063845518047883, 3.061696685137352, 3.0605904651454896, 3.060217593080117, 3.0599302323518804, 3.058662184162571, 3.0551599340227287, 3.049017928155975, 3.0457538544918137]",3.596892,8.413428571428572
32,,1,"[7.668742172085256e-10, 1.2957881662058427e-09, 9.22541993430679e-10, 4.547965502675574e-10, 5.447122809215014, 5.395237087194173, 5.345388914583549, 5.2951556424116575, 5.243990195770757, 5.192432913461638, 5.1414716480327165, 5.092109548914022, 5.045139302089777, 5.001091987555185, 4.960310447946863, 4.923084934461966, 4.889792160449763, 4.86100665670841, 4.837601643179448, 4.820924619076355, 4.8132752526678795, 4.819405629220735, 4.852080800142041, 4.9621307448451635]",5.813423352941176,25.234688235294122
45,,1,"[6.363003437233043, 6.277958653867512, 6.207317916694405, 6.147678973526946, 6.096616051358517, 6.052457792672099, 6.014186699441312, 5.981786830818499, 5.957989450149631, 5.957004194194453]",2.44333,15.264000000000001
21,,0,"[2.894191760621065, 2.8592311546005256, 2.828745841604522, 2.8047390189130463, 2.7945321111280457, 2.818560112674266]",1.2820799999999999,4.25
24,,1,"[6.206927354012816, 6.105325146188469, 6.01028188025983, 5.923591813931524, 5.848565044686661, 5.790204063586121, 5.757087910099948, 5.772016787410621]",1.9076349999999997,11.8535
0,,0,"[2.9026839439477103, 2.881526624838646, 2.8633009616681937, 2.8545498248355767, 2.885938644649525]",1.2226350000000001,3.597
25,,1,"[6.206927354012816, 6.105325146188469, 6.01028188025983, 5.923591813931524, 5.848565044686661, 5.790204063586121, 5.757087910099948, 5.772016787410621]",1.9076349999999997,11.8535
1,,0,"[2.9026839439477103, 2.881526624838646, 2.8633009616681937, 2.8545498248355767, 2.885938644649525]",1.2226350000000001,3.597
26,,1,"[6.206927354012816, 6.105325146188469, 6.01028188025983, 5.923591813931524, 5.848565044686661, 5.790204063586121, 5.757087910099948, 5.772016787410621]",1.9076349999999997,11.8535
2,,0,"[2.9026839439477103, 2.881526624838646, 2.8633009616681937, 2.8545498248355767, 2.885938644649525]",1.2226350000000001,3.597
27,,1,"[6.206927354012816, 6.105325146188469, 6.01028188025983, 5.923591813931524, 5.848565044686661, 5.790204063586121, 5.757087910099948, 5.772016787410621]",1.9076349999999997,11.8535
3,,0,"[2.9026839439477103, 2.881526624838646, 2.8633009616681937, 2.8545498248355767, 2.885938644649525]",1.2226350000000001,3.597
28,,1,"[6.206927354012816, 6.105325146188469, 6.01028188025983, 5.923591813931524, 5.848565044686661, 5.790204063586121, 5.757087910099948, 5.772016787410621]",1.9076349999999997,11.8535
4,,0,"[2.9026839439477103, 2.881526624838646, 2.8633009616681937, 2.8545498248355767, 2.885938644649525]",1.2226350000000001,3.597
29,,1,"[6.206927354012816, 6.105325146188469, 6.01028188025983, 5.923591813931524, 5.848565044686661, 5.790204063586121, 5.757087910099948, 5.772016787410621]",1.9076349999999997,11.8535
5,,0,"[2.9026839439477103, 2.881526624838646, 2.8633009616681937, 2.8545498248355767, 2.885938644649525]",1.2226350000000001,3.597
30,,1,"[5.991535589335394, 5.645067293421937, 5.339618159219324, 5.075033851157695, 4.8533632271954685, 4.678640559070072, 4.557735171525769, 4.504439206274864, 4.560700274842736]",2.0504580000000003,11.301533333333332
6,,0,"[2.3841795109679222, 2.269575183208435, 2.1703278349668365, 2.087580276399353, 2.0251282926371137, 1.9910752454562914, 2.003887836550967, 2.1192612058569678]",1.807638230769231,4.262753846153847
31,,1,"[2.7164498177282515e-09, 2.0836760409331012e-10, 1.9628162467752529e-10, 2.493935837068795e-10, 2.838810031860489e-10, 2.970453794163969e-10, 2.928667576270558e-10, 2.786546998057068e-10, 5.982656985352969, 5.972222962883259, 5.96170489505562, 5.951514308700122, 5.941906631739907, 5.932884585148472, 5.9242219265283, 5.915575190390561, 5.906625735332837, 5.897181572644918, 5.887195198037619, 5.876711188033961, 5.865803503728151, 5.854577494840112, 5.8433341534342835, 5.833119090917772, 5.827384761647335, 5.837907747756071, 5.916744790694488]",6.540800227272728,28.032318181818184
7,,0,"[2.727027243334788, 2.661860580752571, 2.6084768477890323, 2.5599484499942706, 2.5117717711523304, 2.4617020063931934, 2.4089554210356128, 2.3529243708441654, 3.2999999948041396, 3.299999995059519, 3.2999999953450168, 3.2999999956732435, 3.299999996071526]",3.2155733333333334,9.198166666666667
33,,1,"[6.153860798655957, 5.983360100579488, 5.87939755050027, 5.8179860325371395, 5.779485519155142, 5.749918510866937, 5.720813260249336, 5.688143174911887, 5.6509521474972475, 5.610070416031707, 5.5671251341148755, 5.523904491094705, 5.482048791462783, 5.443003235576653, 5.40816322486412, 5.379171183090138, 5.358405148510288, 5.3499350936354375, 5.362068905144824, 5.41706532845537, 4.57099980502194e-10, 3.665758367995061e-10, 2.6238925735018954e-10, 9.090166378710187e-10]",5.782630162601626,28.08121951219512
9,,0,"[2.7950490107159434, 2.7268137007715763, 2.674352564162402, 2.6316204729008144, 2.5940057270787844, 2.5584668204363283, 2.5233627024283787, 2.48811942615518, 2.4528678237389716, 2.4181401676626524, 2.384664625056021, 2.3532629859210865, 2.3248409527837635, 2.3004583958819103, 2.281480970011831, 2.2698666427779655, 2.268842301185122, 2.2849903813401906, 2.3328759619404242]",4.67112306122449,11.666020408163266
34,,1,"[6.599999999801113, 6.599999999818203, 6.599999999836566, 6.599999999853789, 6.5999999998692465, 6.599999999883215, 6.599999999896249, 6.599999999908857, 6.59999999992135, 6.599999999933814, 6.599999999946134, 6.599999999958036, 6.59999999996914, 6.599999999979049, 6.599999999987425, 6.599999999994051, 4.498251387126169, 4.4716937010591025, 4.457025662736534, 4.460749824752602, 4.4932247789077895, 4.568406384874371, 4.703930359304256, 4.940199384348969, -3.942737734614083e-11]",6.009141358024691,35.54837037037037
10,,0,"[2.8172317281794346, 2.751805675787066, 2.698490041150085, 2.6525756401121874, 2.610625400904962, 2.5705497495311027, 2.5314245832028597, 2.4931965181088858, 2.456400768453637, 2.4219680919605553, 2.391155509065923, 2.365616651320141, 2.347657147352306, 2.340889474187187, 2.352264233614864, 2.3989763734616605]",3.837389310344828,10.050206896551725
35,,1,"[6.4097157820621975, 6.384914558751088, 6.3667679651457725, 6.352953890577869, 6.341902170045152, 6.332717486672414, 6.324992940691657, 6.318610111813014, 6.313598714466235, 6.310101017542406, 6.30853422167636, 6.310816138106113, 1.7938871207390907e-09, 7.229517234991708e-10]",3.2818009375,19.01890625
11,,0,"[2.735374925123538, 2.6634682612745615, 2.599662528598308, 2.541138957389812, 2.486704476283698, 2.4366800041718744, 2.392551235750145, 2.3566392147886974, 2.3318996474071514, 2.3218090026498657, 2.330073892046696, 2.360569279409619, 1.1917230029611304e-09, 1.228273435794556e-09, 1.500736491524972e-09, 2.9468156946712485e-10]",3.906700476190476,7.389142857142858
36,,1,"[6.599999999778574, 6.5999999998200005, 6.59999999984905, 6.599999999850118, 6.5999999998108105, 6.599999999721442, 6.599999999572955, 6.599999999357946, 1.0166676431062383, 0.998007458417261, 1.0267298386579917, 1.0816058759893776, 1.1619406808358455, 1.2927835716285925, 1.6384427117681069]",3.6153288888888886,15.254044444444444
12,,0,"[2.9204870085472003, 2.886720075038549, 2.8566016125914766, 2.831359252103921, 2.8128186309423464, 2.8035669637821496, 2.8075920520607056, 2.8336965097507014, 1.7727845700393635e-11, 3.088495301642772e-11, 4.821618787125242e-11, 6.429267915706775e-11, 7.727523029422698e-11, 8.798779722034229e-11, 9.887048828710288e-11, 5.736918605694305e-11, 1.7086670076584163e-12]",4.165243684210527,5.688210526315789
37,,1,"[6.59999999369977, 6.599999990991173, 6.599999989044773, 6.599999987613187, 5.694045552078673, 5.591029519520667, 5.5012614398833355, 5.425132535875185, 5.364333714546318, 5.322682855414041, 5.30962299345016, 5.359391427848743, -2.620288875711209e-10]",3.244813125,17.491875
13,,0,"[3.2999999990161872, 3.2999999989370505, 3.2999999987540334, 3.2999999985170536, 0.5078302333780025, 0.5482082485582804, 0.5862082556173597, 0.6267699723044731, 0.6786899257050742, 0.7622160307832518, 0.9402105007918157, 1.4218668380363653, -1.4543610823952118e-10, -1.0360925944708009e-10, -6.67513452880445e-11, -2.3039279421899358e-11, 2.3593954661882947e-11, 4.6682864048672716e-11]",4.3881504,4.8180000000000005
38,,1,"[6.360258345766932, 6.282279258364754, 6.216161612986378, 6.160597900941062, 6.1148715802525455, 6.079069619226944, 6.0552729847473445, 6.053888696044672, 1.0676607093198748e-09]",2.247329,12.3306
