,arrHour,reg_centsPerHr,sch_centsPerHr,sch_overstayPerHr,sch_centsPerkWh,highPower,estDurationHrs,estEnergykWh
8,8,149.53157505917648,142.09685870518467,,,0,3.596892,8.413428571428572
32,8,265.902904034222,138.26231456345127,,,1,5.813423352941176,25.234688235294122
45,21,267.94393832722216,140.88762335703134,,,1,2.44333,15.264000000000001
21,21,156.43389213512572,152.30130188372394,,,0,1.2820799999999999,4.25
24,0,267.94414429840776,140.88760467586323,,,1,1.9076349999999997,11.8535
0,0,155.55392335581197,157.90345977631864,,,0,1.2226350000000001,3.597
25,1,267.94414429840776,140.88760467586323,,,1,1.9076349999999997,11.8535
1,1,155.55392335581197,157.90345977631864,,,0,1.2226350000000001,3.597
26,2,267.94414429840776,140.88760467586323,,,1,1.9076349999999997,11.8535
2,2,155.55392335581197,157.90345977631864,,,0,1.2226350000000001,3.597
27,3,267.94414429840776,140.88760467586323,,,1,1.9076349999999997,11.8535
3,3,155.55392335581197,157.90345977631864,,,0,1.2226350000000001,3.597
28,4,267.94414429840776,140.88760467586323,,,1,1.9076349999999997,11.8535
4,4,155.55392335581197,157.90345977631864,,,0,1.2226350000000001,3.597
29,5,267.94414429840776,140.88760467586323,,,1,1.9076349999999997,11.8535
5,5,155.55392335581197,157.90345977631864,,,0,1.2226350000000001,3.597
30,6,267.9440427542727,140.8875879067067,,,1,2.0504580000000003,11.301533333333332
6,6,156.43391596124403,152.30132338486715,,,0,1.807638230769231,4.262753846153847
31,7,265.79550665591483,138.14759981671122,,,1,6.540800227272728,28.032318181818184
7,7,153.7042870382779,145.74507372088564,,,0,3.2155733333333334,9.198166666666667
33,9,266.70816026070474,139.03596688933254,,,1,5.782630162601626,28.08121951219512
9,9,152.83950054327494,147.75057804075584,,,0,4.67112306122449,11.666020408163266
34,10,265.67892954246923,138.33431894097495,,,1,6.009141358024691,35.54837037037037
10,10,152.83952169874772,147.7506130213467,,,0,3.837389310344828,10.050206896551725
35,11,266.70816770154283,139.03596908448606,,,1,3.2818009375,19.01890625
11,11,152.83951993382252,147.7505943960218,,,0,3.906700476190476,7.389142857142858
36,12,266.9063515622187,139.32178869540553,,,1,3.6153288888888886,15.254044444444444
12,12,152.83951630101072,147.75061405640952,,,0,4.165243684210527,5.688210526315789
37,13,266.3970388440371,139.24935246403822,,,1,3.244813125,17.491875
13,13,152.37066741222193,155.41394914761125,,,0,4.3881504,4.8180000000000005
38,14,267.94411907125107,140.88760408600947,,,1,2.247329,12.3306
14,14,155.97612907618552,158.42689296156612,,,0,4.032101666666667,6.650833333333334
39,15,284.2837660559247,156.8289868317763,,,1,2.673358888888889,15.77822222222222
15,15,174.00851334182286,168.28455847150525,,,0,2.32515,6.190111111111111
40,16,295.04696550005633,165.58395855845393,,,1,2.87923125,16.111375
16,16,158.78389987753908,97.25329116410933,,,0,2.72048125,5.6866249999999985
41,17,295.0472467008466,165.58396642990624,,,1,2.078756153846154,10.05
17,17,158.78390057259372,97.25329443020829,,,0,2.7904400000000003,6.337999999999999
42,18,295.0472447928169,165.58395039274777,,,1,2.28150625,13.9744375
18,18,158.78391434343493,97.25330071030791,,,0,2.8111099999999998,9.256
43,19,286.34101846654903,158.5817913157439,,,1,3.17187,16.26775
19,19,152.8783101334037,91.84927686713495,,,0,2.8111099999999998,9.256
44,20,293.18046650015555,164.07479422416196,,,1,1.18092,5.821333333333333
20,20,176.2038530022477,158.3308380326937,,,0,1.2820799999999999,4.25
46,22,267.94393832722216,140.88762335703134,,,1,2.44333,15.264000000000001
22,22,156.43389213512572,152.30130188372394,,,0,1.2820799999999999,4.25
47,23,267.94393832722216,140.88762335703134,,,1,2.44333,15.264000000000001
23,23,156.43389213512572,152.30130188372394,,,0,1.2820799999999999,4.25
