,arrHour,reg_centsPerHr,sch_centsPerHr,sch_overstayPerHr,sch_centsPerkWh,highPower,estDurationHrs,estEnergykWh
0,0,123.11492162577741,126.6373550075878,,,0,1.2226350000000001,3.3
1,0,225.38416299406865,226.87423103724285,,,1,1.9076349999999997,11.549999999999999
2,1,123.11492162577741,126.6373550075878,,,0,1.2226350000000001,3.3
3,1,225.38416299406865,226.87423103724285,,,1,1.9076349999999997,11.549999999999999
4,2,123.11492162577741,126.6373550075878,,,0,1.2226350000000001,3.3
5,2,225.38416299406865,226.87423103724285,,,1,1.9076349999999997,11.549999999999999
6,3,123.11492162577741,126.6373550075878,,,0,1.2226350000000001,3.3
7,3,225.38416299406865,226.87423103724285,,,1,1.9076349999999997,11.549999999999999
8,4,123.11492162577741,126.6373550075878,,,0,1.2226350000000001,3.3
9,4,225.38416299406865,226.87423103724285,,,1,1.9076349999999997,11.549999999999999
10,5,123.11492162577741,126.6373550075878,,,0,1.2226350000000001,3.3
11,5,225.38416299406865,226.87423103724285,,,1,1.9076349999999997,11.549999999999999
12,6,131.7420902522686,143.0108674699893,,,0,1.807638230769231,4.262753846153847
13,6,228.69965460745644,217.21424903936924,,,1,2.0504580000000003,11.301533333333332
14,7,124.50509445337575,129.3891327108775,,,0,3.2155733333333334,9.198166666666667
15,7,221.69464709837683,200.3084815625273,,,1,6.540800227272728,28.032318181818184
16,8,127.07291868579424,139.92036545944157,,,0,3.596892,8.413428571428572
17,8,222.79827959126428,215.61993047963722,,,1,5.813423352941176,25.234688235294122
18,9,127.62957471920744,139.65121160434146,,,0,4.67112306122449,11.666020408163266
19,9,226.80595589308504,218.8253434354877,,,1,5.782630162601626,28.08121951219512
20,10,128.81074897392767,141.80771509606947,,,0,3.837389310344828,10.050206896551725
21,10,226.62518716692776,215.9313286411151,,,1,6.009141358024691,35.54837037037037
22,11,127.30044299285082,137.76773730099768,,,0,3.906700476190476,7.389142857142858
23,11,227.34109415772357,213.42674889316638,,,1,3.2818009375,19.01890625
24,12,130.81109612349107,144.35137909174364,,,0,4.165243684210527,5.688210526315789
25,12,225.89191863613038,231.96164651855574,,,1,3.6153288888888886,15.254044444444444
26,13,125.28985399997507,130.5762421586676,,,0,4.3881504,4.8180000000000005
27,13,227.83354099215805,218.4627568611664,,,1,3.244813125,17.491875
28,14,137.02740762915226,155.777263686988,,,0,4.032101666666667,6.650833333333334
29,14,229.6387074950552,227.15733862666082,,,1,2.247329,12.3306
30,15,163.53473346134248,206.27628974589175,,,0,2.32515,6.190111111111111
31,15,245.96855978447616,185.15364250717602,,,1,2.673358888888889,15.77822222222222
32,16,168.69514374640713,177.6357928990215,,,0,2.72048125,5.6866249999999985
33,16,260.2142562183187,197.57922185389413,,,1,2.87923125,16.111375
34,17,165.38980198486044,169.2855768952214,,,0,2.7904400000000003,6.337999999999999
35,17,260.625054727357,197.86315636292431,,,1,2.078756153846154,10.05
36,18,166.54485659999452,169.420634405362,,,0,2.8111099999999998,9.075
37,18,260.3507698005278,197.6742896918985,,,1,2.28150625,13.9744375
38,19,150.6312668522968,134.5689919223626,,,0,2.8111099999999998,9.075
39,19,260.7721364162021,225.35742964610225,,,1,3.17187,16.26775
40,20,155.59911971716696,147.94638679694782,,,0,1.2820799999999999,4.125
41,20,260.4954107555605,197.76505627073027,,,1,1.18092,5.821333333333333
42,21,134.413603470595,147.69876671209363,,,0,1.2820799999999999,4.125
43,21,225.38414989295316,226.87418619192428,,,1,2.44333,14.85
44,22,134.413603470595,147.69876671209363,,,0,1.2820799999999999,4.125
45,22,225.38414989295316,226.87418619192428,,,1,2.44333,14.85
46,23,134.413603470595,147.69876671209363,,,0,1.2820799999999999,4.125
47,23,225.38414989295316,226.87418619192428,,,1,2.44333,14.85
