,arrHour,highPower,power_kw,estDurationHrs,estEnergykWh
0,,0,"[2.9160119027239517, 2.8849752262237933, 2.8610047863554873, 2.850869456469882, 2.8751386315360943]",1.2226350000000001,3.597
1,,0,"[2.9160119027239517, 2.8849752262237933, 2.8610047863554873, 2.850869456469882, 2.8751386315360943]",1.2226350000000001,3.597
2,,0,"[2.9160119027239517, 2.8849752262237933, 2.8610047863554873, 2.850869456469882, 2.8751386315360943]",1.2226350000000001,3.597
3,,0,"[2.9160119027239517, 2.8849752262237933, 2.8610047863554873, 2.850869456469882, 2.8751386315360943]",1.2226350000000001,3.597
4,,0,"[2.9160119027239517, 2.8849752262237933, 2.8610047863554873, 2.850869456469882, 2.8751386315360943]",1.2226350000000001,3.597
5,,0,"[2.9160119027239517, 2.8849752262237933, 2.8610047863554873, 2.850869456469882, 2.8751386315360943]",1.2226350000000001,3.597
6,,0,"[2.2488970780338886, 2.1745113094844544, 2.1137858758992953, 2.0675737625978945, 2.036554822438718, 2.0224809734761515, 2.0487599885608643, 2.338451575281745]",1.807638230769231,4.262753846153847
7,,0,"[2.628984622979255, 2.658020851641507, 2.6527073959452414, 2.613405604607394, 2.551430879746214, 2.476388587998087, 2.395854701549492, 2.3158740234473028, 3.2999999997550455, 3.299999999755157, 3.2999999997499976, 3.299999999739609, 3.2999999997809217]",3.2155733333333334,9.198166666666667
8,,0,"[4.344582692515753e-10, 4.3242986481071786e-10, 3.915077176548439e-10, 2.9262920761853507e-10, 3.0389954728248183, 3.0386555637581765, 3.039921390113058, 3.043538477178731, 3.050145459639464, 3.0602808931260834, 3.0743480522791278, 3.0924353227035124, 3.1129971462789827, 3.1195655223798338, 2.9828309840094733]",3.596892,8.413428571428572
9,,0,"[2.591006233308955, 2.6499905389881078, 2.6858280693734993, 2.6924068736641225, 2.6776942479141495, 2.6480114839114988, 2.6080192353120832, 2.561309475043996, 2.5107347535234528, 2.458598599144841, 2.4068082580649506, 2.357031341480011, 2.310866974528496, 2.270031113168442, 2.2365581980755294, 2.21306641437908, 2.203591581851976, 2.220436279229757, 2.362091968227648]",4.67112306122449,11.666020408163266
10,,0,"[2.619101053256234, 2.6753784918523236, 2.698702013442746, 2.694500650896297, 2.6711347174430338, 2.634977719428015, 2.590830102092761, 2.5424211049917718, 2.492736434945642, 2.4442733878978307, 2.3992800302785224, 2.359977591130352, 2.328733954810249, 2.308486653683432, 2.3090053272461084, 2.431288356958385]",3.837389310344828,10.050206896551725
11,,0,"[2.60590706974376, 2.571112143002978, 2.5333672708565693, 2.4953371343964297, 2.4593079136907927, 2.427330387990503, 2.4014083019681296, 2.3837883604533263, 2.377455125484848, 2.387019045921111, 2.420439895154161, 2.4940987747946832, 1.6250825925856736e-09, 1.6678732827377227e-09, 1.865926933402152e-09, 4.4712789808291343e-10]",3.906700476190476,7.389142857142858
12,,0,"[2.8386522653167874, 2.8246844398966005, 2.8149565022292484, 2.8103323144262555, 2.8133254026003156, 2.8292679743216183, 2.868642644631094, 2.9529805493957473, 7.369698269914408e-11, 4.1914355463104356e-10, 7.92049237179828e-10, 1.1927619101350674e-09, 1.6455104902848762e-09, 2.200689544720313e-09, 3.0099571015009748e-09, 5.797597424377001e-09, -3.725537036065402e-10]",4.165243684210527,5.688210526315789
13,,0,"[3.299999999936588, 3.29999999993833, 3.299999999921406, 3.2999999998802303, 0.5678028507809065, 0.5777072974900606, 0.5946523035726019, 0.6205914109335255, 0.6598069519617014, 0.7224265898118036, 0.8555026034843172, 1.4735099923060406, -6.546531585442538e-12, -4.440326440061159e-12, -2.107823202424053e-12, 8.558334874306954e-13, 4.570193630254209e-12, 1.2653793532343179e-11]",4.3881504,4.8180000000000005
14,,0,"[3.3000000000175884, 3.300000000015653, 3.3000000000142147, 3.300000000013527, 3.300000000013824, 3.300000000015307, 3.3000000000177687, 3.30000000001594, 0.009320498426561236, 0.010580080048802232, 0.011955662067346403, 0.01351316598776634, 0.015218730574989962, 0.01703812084969733, 0.0193577848502096, 0.0242226640226816, 0.08212662633295684]",4.032101666666667,6.650833333333334
15,,0,"[3.2999999996207654, 3.2999999997930773, 3.2999999998954914, 3.2999999999577505, 1.9126505437023809, 1.8600943649988917, 1.829703770205055, 1.8313776136942554, 1.9020666463410791, 2.2245515066962622]",2.32515,6.190111111111111
16,,0,"[2.3197993731622795, 2.239251810888298, 2.1617050998885112, 2.0902152841609554, 2.027190716306371, 1.9746040435139547, 1.9342211511113603, 1.9079466770286857, 1.8999338792967249, 1.9373300469619563, 2.2543019188143343]",2.72048125,5.6866249999999985
