,arrHour,reg_centsPerHr,sch_centsPerHr,sch_overstayPerHr,sch_centsPerkWh,highPower,estDurationHrs,estEnergykWh
0,0,66.3350417924626,68.65801240668686,,,0,1.2226350000000001,3.597
1,0,131.6331420066611,132.87091949417268,,,1,1.9076349999999997,11.8535
2,1,131.6331420066611,132.87091949417268,,,1,1.9076349999999997,11.8535
3,1,66.3350417924626,68.65801240668686,,,0,1.2226350000000001,3.597
4,2,66.3350417924626,68.65801240668686,,,0,1.2226350000000001,3.597
5,2,131.6331420066611,132.87091949417268,,,1,1.9076349999999997,11.8535
6,3,66.3350417924626,68.65801240668686,,,0,1.2226350000000001,3.597
7,3,131.6331420066611,132.87091949417268,,,1,1.9076349999999997,11.8535
8,4,66.3350417924626,68.65801240668686,,,0,1.2226350000000001,3.597
9,4,131.6331420066611,132.87091949417268,,,1,1.9076349999999997,11.8535
10,5,67.0300376721447,65.59288760784956,,,0,1.2226350000000001,3.597
11,5,131.63315356883405,133.6114858082084,,,1,1.9076349999999997,11.8535
12,6,65.77930569377473,67.0392420419855,,,0,1.807638230769231,4.262753846153847
13,6,131.76295916624866,136.15400413196963,,,1,2.0504580000000003,11.301533333333332
14,7,65.68879161416922,68.96663548788439,,,0,3.2155733333333334,9.198166666666667
15,7,131.76602714859865,133.645812399033,,,1,6.540800227272728,28.032318181818184
16,8,173.21826152699242,173.96031579010585,,,1,5.813423352941176,25.234688235294122
17,8,66.32676218773602,69.6115978643836,,,0,3.596892,8.413428571428572
18,9,173.37817243708218,173.5986311492235,,,1,5.782630162601626,28.08121951219512
19,9,115.9604534806902,136.1132420696529,,,0,4.67112306122449,11.666020408163266
20,10,173.23578499697058,172.58466933555994,,,1,6.009141358024691,35.54837037037037
21,10,153.66696504342326,158.69835160218815,,,0,3.837389310344828,10.050206896551725
22,11,173.551940132797,173.18850844948358,,,1,3.2818009375,19.01890625
23,11,162.4775669955102,129.78987692924278,,,0,3.906700476190476,7.389142857142858
24,12,239.32849183165143,183.33563511289236,,,1,3.6153288888888886,15.254044444444444
25,12,188.42644184150274,136.02098120684386,,,0,4.165243684210527,5.688210526315789
26,13,131.7873491585217,132.84433796680554,,,1,3.244813125,17.491875
27,13,66.02701430785241,67.56057717695212,,,0,4.3881504,4.8180000000000005
28,14,66.08115521766713,67.77527386611881,,,0,4.032101666666667,6.650833333333334
29,14,131.72622311329835,133.87917950232423,,,1,2.247329,12.3306
30,15,131.67918399437224,133.38817270148996,,,1,2.673358888888889,15.77822222222222
31,15,65.78558893383222,66.66954009775822,,,0,2.32515,6.190111111111111
32,16,131.85367717378983,133.21076911807071,,,1,2.87923125,16.111375
33,16,66.07690310444951,67.79745313477942,,,0,2.72048125,5.6866249999999985
34,17,131.66615653595196,134.2179528303587,,,1,2.078756153846154,10.05
35,17,65.88085346581674,66.56963265573687,,,0,2.7904400000000003,6.337999999999999
36,18,65.94069028834303,66.29018753100848,,,0,2.8111099999999998,8.799999999999999
37,18,131.8535347560145,133.21091151334338,,,1,2.28150625,13.9744375
38,19,133.53639259327858,131.17396046911787,,,1,3.17187,16.26775
39,19,69.97777700674676,66.2861757074453,,,0,2.8111099999999998,8.799999999999999
40,20,131.8846943578079,138.51514621932054,,,1,1.18092,5.821333333333333
41,20,65.96791880051288,68.79504576547711,,,0,1.2820799999999999,3.849999999999999
42,21,131.562823508036,133.92298214598435,,,1,2.44333,15.264000000000001
43,21,65.96791880051288,68.79504576547711,,,0,1.2820799999999999,3.849999999999999
44,22,131.5914460820209,133.0647824474308,,,1,2.44333,15.264000000000001
45,22,65.96791880051288,68.79504576547711,,,0,1.2820799999999999,3.849999999999999
46,23,66.1636425888454,67.74008956636003,,,0,1.2820799999999999,3.849999999999999
47,23,173.2642661869014,174.09548458993922,,,1,2.44333,15.264000000000001
