,userId,reg_centsPerHr,sch_centsPerHr,sch_centsPerOverstayHr,vehicle_maxChgRate_W,,connectionStatus,chargingStatus,overstayStatus,power_w,dcosId,choice,DurationHrs,connectedDuration_Hrs,Energy_IRL
2022-08-26 21:00:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,3231.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 21:05:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,3232.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 21:10:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,3224.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 21:15:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,3237.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 21:20:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,3248.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 21:25:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,3232.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 21:30:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,3232.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 21:35:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,3234.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 21:40:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,3241.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 21:45:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,2846.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 21:50:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,1832.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 21:55:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,1454.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 22:00:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,0.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 22:05:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,0.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 22:10:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,0.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
2022-08-26 22:15:00-07:00,1154,287.0,127.0,400.0,4250,,1,1,0,0.0,3013,SCHEDULED,4.10805,4.1097222222222225,12.072
